sample_id,ecosystem,isolate,latitude,longitude,milionbases,description
SRR7450706,Serengeti,Wildebeest,-1.7898,34.7548,116,Connochaetes taurinus
SRR7450707,Serengeti,Wildebeest,-2.0509,33.963,87,Connochaetes taurinus
SRR7450708,Serengeti,Buffalo,-2.0209,34.4479,72,Syncerus caffer
SRR7450709,Serengeti,Wildebeest,-2.0028,34.563,59,Connochaetes taurinus
SRR7450710,Serengeti,Wildebeest,-2.0028,34.563,45,Connochaetes taurinus
SRR7450711,Serengeti,Wildebeest,-1.7898,34.7548,61,Connochaetes taurinus
SRR7450712,Serengeti,Wildebeest,-1.7898,34.7548,60,Connochaetes taurinus
SRR7450713,Serengeti,Topi,-1.9798,34.1463,175,Damaliscus lunatus
SRR7450714,Serengeti,Wildebeest,-1.8791,34.7836,59,Connochaetes taurinus
SRR7450715,Serengeti,Wildebeest,-2.0028,34.563,64,Connochaetes taurinus
SRR7450716,Serengeti,Wildebeest,-1.9939,34.5189,78,Connochaetes taurinus
SRR7450717,Serengeti,Wildebeest,-1.8791,34.7836,50,Connochaetes taurinus
SRR7450718,Serengeti,Sheep,-1.9986,34.3729,154,Ovis aries
SRR7450719,Serengeti,Buffalo,-2.0209,34.4479,70,Syncerus caffer
SRR7450720,Serengeti,Wildebeest,-2.0751,34.4984,51,Connochaetes taurinus
SRR7450721,Serengeti,Giraffe,-2.0028,34.563,45,Giraffa camelopardalis
SRR7450722,Serengeti,Eland,-2.0189,34.4164,41,Tragelaphus oryx
SRR7450723,Serengeti,Wildebeest,-1.9291,34.2791,89,Connochaetes taurinus
SRR7450724,Serengeti,Eland,-2.0471,34.467,77,Tragelaphus oryx
SRR7450725,Serengeti,Wildebeest,-2.0751,34.4984,64,Connochaetes taurinus
SRR7450726,Serengeti,Eland,-1.8791,34.7836,60,Tragelaphus oryx
SRR7450727,Serengeti,Buffalo,-2.0509,33.963,61,Syncerus caffer
SRR7450728,Serengeti,Buffalo,-2.0509,33.963,19,Syncerus caffer
SRR7450729,Serengeti,Wildebeest,-2.0509,33.963,20,Connochaetes taurinus
SRR7450730,Serengeti,Eland,-2.0509,33.963,23,Tragelaphus oryx
SRR7450731,Serengeti,Buffalo,-2.0509,33.963,21,Syncerus caffer
SRR7450732,Serengeti,Wildebeest,-2.0509,33.963,16,Connochaetes taurinus
SRR7450733,Serengeti,Buffalo,-2.0509,33.963,21,Syncerus caffer
SRR7450734,Serengeti,Wildebeest,-2.0509,33.963,24,Connochaetes taurinus
SRR7450735,Serengeti,Topi,-2.0509,33.963,65,Damaliscus lunatus
SRR7450736,Serengeti,Wildebeest,-1.8791,34.7836,67,Connochaetes taurinus
SRR7450737,Serengeti,Wildebeest,-1.98,34.146,25,Connochaetes taurinus
SRR7450738,Serengeti,Buffalo,-2.0318,33.8599,25,Syncerus caffer
SRR7450739,Serengeti,Buffalo,-2.0189,34.4164,21,Syncerus caffer
SRR7450740,Serengeti,Buffalo,-2.0318,33.8599,159,Syncerus caffer
SRR7450741,Serengeti,Buffalo,-2.0318,33.8599,24,Syncerus caffer
SRR7450742,Serengeti,Wildebeest,-2.0318,33.8599,27,Connochaetes taurinus
SRR7450743,Serengeti,Wildebeest,-1.4197,34.7475,33,Connochaetes taurinus
SRR7450744,Serengeti,Porcupine,-2.0531,33.9437,22,Hystrix cristata
SRR7450745,Serengeti,Wildebeest,-2.0318,33.8599,27,Connochaetes taurinus
SRR7450746,Serengeti,Buffalo,-2.0189,34.4164,9,Syncerus caffer
SRR7450747,Serengeti,Wildebeest,-1.5201,34.6631,13,Connochaetes taurinus
SRR7450748,Serengeti,Gazelle,-2.0509,33.963,65,Eudorcas thomsonii
SRR7450749,Serengeti,Buffalo,-2.0509,33.963,101,Syncerus caffer
SRR7450750,Serengeti,Buffalo,-1.8791,34.7836,111,Syncerus caffer
SRR7450751,Serengeti,Rabbit,-2.0509,33.963,54,Lepus microtis
SRR7450752,Serengeti,Buffalo,-1.9871,34.105,11,Syncerus caffer
SRR7450753,Serengeti,Warthog,-1.4451,34.7022,8,Phacochoerus africanus
SRR7450754,Serengeti,Wildebeest,-1.9871,34.105,22,Connochaetes taurinus
SRR7450755,Serengeti,Wildebeest,-1.9871,34.105,11,Connochaetes taurinus
SRR7450756,Serengeti,Buffalo,-1.9986,34.3729,22,Syncerus caffer
SRR7450757,Serengeti,Wildebeest,-1.7898,34.7548,16,Connochaetes taurinus
SRR7450758,Serengeti,Zebra,-2.0318,33.8598,4,Equus burchellii quagga
SRR7450759,Serengeti,Buffalo,-2.0318,33.8599,19,Syncerus caffer
SRR7450760,Serengeti,Wildebeest,-1.5201,34.6631,23,Connochaetes taurinus
SRR7450761,Serengeti,Wildebeest,-1.5201,34.6631,21,Connochaetes taurinus
SRR10245277,Serengeti,Wildebeest,-2.154,34.6857,189,Connochaetes taurinus
SRR10245278,Serengeti,Pig,-2.154,34.6857,261,Suidae
SRR10245279,Serengeti,Eland,-2.154,34.6857,155,Tragelaphus oryx
SRR10245280,Selous,Gazelle,-9,37.5,156,Gazella
SRR10245281,Selous,Dikdik,-9,37.5,105,Madoqua
SRR10245282,Selous,Zebra,-9,37.5,188,Equus burchellii quagga
SRR10245283,Selous,Buffalo,-9,37.5,157,Syncerus caffer
SRR10245284,Selous,Pig,-9,37.5,122,Suidae
SRR10245285,Selous,Zebra,-9,37.5,128,Equus burchellii quagga
SRR10245286,Serengeti,Wildebeest,-2.154,34.6857,240,Connochaetes taurinus
SRR10245287,Selous,Hippo,-9,37.5,167,Hippopotamus amphibius
SRR10245288,Selous,Impala,-9,37.5,128,Aepyceros melampus
SRR10245289,Selous,Impala,-9,37.5,97,Aepyceros melampus
SRR10245290,Selous,Hare,-9,37.5,256,Lepus
SRR10245291,Selous,Buffalo,-9,37.5,162,Syncerus caffer
SRR10245292,Selous,Cane Rat,-9,37.5,110,Thryonomys
SRR10245293,Selous,Pig,-9,37.5,274,Suidae
SRR10245294,Selous,Gazelle,-9,37.5,383,Gazella
SRR10245295,Selous,Zebra,-9,37.5,141,Equus burchellii quagga
SRR10245296,Selous,Cattle,-9,37.5,239,Bos
SRR10245297,Serengeti,Wildebeest,-2.154,34.6857,245,Connochaetes taurinus
SRR10245298,Selous,Impala,-9,37.5,184,Aepyceros melampus
SRR10245299,Selous,Impala,-9,37.5,135,Aepyceros melampus
SRR10245300,Selous,Impala,-9,37.5,112,Aepyceros melampus
SRR10245301,Ruaha,Wildebeest,-7.386,34.9563,127,Connochaetes taurinus
SRR10245302,Ruaha,Dikdik,-7.386,34.9563,116,Madoqua
SRR10245303,Ruaha,Dikdik,-7.386,34.9563,435,Madoqua
SRR10245304,Ruaha,Impala,-7.386,34.9563,195,Aepyceros melampus
SRR10245305,Ruaha,Dikdik,-7.386,34.9563,190,Madoqua
SRR10245306,Serengeti,Wildebeest,-2.154,34.6857,195,Connochaetes taurinus
SRR10245307,Serengeti,Topi,-2.154,34.6857,157,Damaliscus lunatus korrigum
SRR10245308,Serengeti,Zebra,-2.154,34.6857,90,Equus burchellii quagga
SRR10245309,Serengeti,Wildebeest,-2.154,34.6857,131,Connochaetes taurinus
SRR10245310,Serengeti,Wildebeest,-2.154,34.6857,107,Connochaetes taurinus
SRR10245311,Serengeti,Wildebeest,-2.154,34.6857,225,Connochaetes taurinus
SRR10245312,Serengeti,Impala,-2.154,34.6857,157,Aepyceros melampus
SRR10245313,Selous,Hare,-9,37.5,125,Lepus
SRR10245314,Selous,Cattle,-9,37.5,45,Bos
SRR10245315,Selous,Cattle,-9,37.5,188,Bos
SRR10245316,Selous,Cattle,-9,37.5,162,Bos
SRR10245317,Selous,Cattle,-9,37.5,188,Bos
SRR10245318,Selous,Cattle,-9,37.5,32,Bos
SRR10245319,Serengeti,Zebra,-2.154,34.6857,122,Equus burchellii quagga
SRR10245320,Selous,Cattle,-9,37.5,142,Bos
SRR10245321,Selous,Cattle,-9,37.5,170,Bos
SRR10245322,Selous,Cattle,-9,37.5,110,Bos
SRR10245323,Selous,Wildebeest,-9,37.5,28,Connochaetes taurinus
SRR10245324,Ruaha,Dikdik,-7.386,34.9563,176,Madoqua
SRR10245325,Ruaha,Dikdik,-7.386,34.9563,203,Madoqua
SRR10245326,Ruaha,Dikdik,-7.386,34.9563,204,Madoqua
SRR10245327,Ruaha,Dikdik,-7.386,34.9563,248,Madoqua
SRR10245328,Ruaha,Dikdik,-7.386,34.9563,38,Madoqua
SRR10245329,Ruaha,Dikdik,-7.386,34.9563,174,Madoqua
SRR10245330,Selous,Impala,-9,37.5,265,Aepyceros melampus
SRR10245331,Ruaha,Dikdik,-7.386,34.9563,169,Madoqua
SRR10245332,Ruaha,Dikdik,-7.386,34.9563,103,Madoqua
SRR10245333,Ruaha,Dikdik,-7.386,34.9563,169,Madoqua
SRR10245334,Ruaha,Dikdik,-7.386,34.9563,145,Madoqua
SRR10245335,Ruaha,Dikdik,-7.386,34.9563,135,Madoqua
SRR10245336,Ruaha,Dikdik,-7.386,34.9563,187,Madoqua
SRR10245337,Ruaha,Dikdik,-7.386,34.9563,162,Madoqua
SRR10245338,Ruaha,Dikdik,-7.386,34.9563,22,Madoqua
SRR10245339,Ruaha,Dikdik,-7.386,34.9563,198,Madoqua
SRR10245340,Ruaha,Buffalo,-7.386,34.9563,131,Syncerus caffer
SRR10245341,Selous,Hippo,-9,37.5,218,Hippopotamus amphibius
SRR10245342,Ruaha,Dikdik,-7.386,34.9563,145,Madoqua
SRR10245343,Ruaha,Dikdik,-7.386,34.9563,130,Madoqua
SRR10245344,Serengeti,Wildebeest,-2.154,34.6857,154,Connochaetes taurinus
SRR10245345,Serengeti,Wildebeest,-2.154,34.6857,219,Connochaetes taurinus
SRR10245346,Serengeti,Wildebeest,-2.154,34.6857,159,Connochaetes taurinus
SRR10245347,Serengeti,Buffalo,-2.154,34.6857,169,Syncerus caffer
SRR10245348,Serengeti,Wildebeest,-2.154,34.6857,153,Connochaetes taurinus
SRR10245349,Serengeti,Wildebeest,-2.154,34.6857,175,Connochaetes taurinus
SRR10245350,Serengeti,Wildebeest,-2.154,34.6857,250,Connochaetes taurinus
SRR10245351,Serengeti,Wildebeest,-2.154,34.6857,151,Connochaetes taurinus
SRR10245352,Selous,Hare,-9,37.5,317,Lepus
SRR10245353,Ruaha,Dikdik,-7.386,34.9563,184,Madoqua
